Sample_ID,Cmass,Nmass,CNratio,Carea,N
BNL12602,464.7,19.5,23.83,80.9,3.39
BNL12603,494,15.6,31.67,88.73,2.8
BNL12603T,494,15.6,31.67,88.73,2.8
BNL12605,483.8,21,23.04,65.94,2.86
BNL12605T,483.8,21,23.04,65.94,2.86
BNL12606,519.6,21.2,24.51,51.19,2.09
BNL12606T,519.6,21.2,24.51,51.19,2.09
BNL12607,512.3,19,26.96,54.42,2.02
BNL12607T,512.3,19,26.96,54.42,2.02
BNL12608,501.3,19,26.38,57.89,2.19
BNL12608T,501.3,19,26.38,57.89,2.19
BNL12609,527.9,12,43.99,69.1,1.57
BNL12609T,527.9,12,43.99,69.1,1.57
BNL12610,536.2,15.6,34.37,91.56,2.66
BNL12610T,536.2,15.6,34.37,91.56,2.66
BNL12611,495.8,13.7,36.19,68.14,1.88
BNL12611T,495.8,13.7,36.19,68.14,1.88
BNL12612,503.8,14.6,34.51,68.62,1.99
BNL12612T,503.8,14.6,34.51,68.62,1.99
BNL12616,443.8,17.2,25.8,54.2,2.1
BNL12616T,443.8,17.2,25.8,54.2,2.1
BNL12617,459.2,15.7,29.25,65.01,2.22
BNL12617T,459.2,15.7,29.25,65.01,2.22
BNL12618,514.2,12.8,40.17,60.2,1.5
BNL12618T,514.2,12.8,40.17,60.2,1.5
BNL12619,503.8,15.3,32.93,91.64,2.78
BNL12619T,503.8,15.3,32.93,91.64,2.78
BNL12620,500.2,12.1,41.34,84.85,2.05
BNL12620T,500.2,12.1,41.34,84.85,2.05
BNL12622,467.9,17.4,26.89,65.93,2.45
BNL12622T,467.9,17.4,26.89,65.93,2.45
BNL12623,391.9,16.9,23.19,39.26,1.69
BNL12623T,391.9,16.9,23.19,39.26,1.69
BNL12626,421.6,15.2,27.74,21.09,0.76
BNL12626T,421.6,15.2,27.74,21.09,0.76
BNL12627,438,19.6,22.35,30.06,1.35
BNL12627T,438,19.6,22.35,30.06,1.35
BNL12629,518,26.7,19.4,50.63,2.61
BNL12629T,518,26.7,19.4,50.63,2.61
BNL12630,512.7,18.1,28.33,52.56,1.86
BNL12630T,512.7,18.1,28.33,52.56,1.86
BNL12631,550.7,30.5,18.06,26.14,1.45
BNL12631T,550.7,30.5,18.06,26.14,1.45
BNL12632,501.1,25.1,19.96,31.39,1.57
BNL12632T,501.1,25.1,19.96,31.39,1.57
BNL12633,445.9,20.7,21.54,26.48,1.23
BNL12633T,445.9,20.7,21.54,26.48,1.23
BNL12636,477.7,30.4,15.71,41.68,2.65
BNL12636T,477.7,30.4,15.71,41.68,2.65
BNL12639,481,26.1,18.43,32.64,1.77
BNL12639T,481,26.1,18.43,32.64,1.77
BNL12640,493,23.9,20.63,44.49,2.16
BNL12640T,493,23.9,20.63,44.49,2.16
BNL12641,463.8,17.9,25.91,36.44,1.41
BNL12641T,463.8,17.9,25.91,36.44,1.41
BNL12643,485.6,26.8,18.12,30.44,1.68
BNL12643T,485.6,26.8,18.12,30.44,1.68
BNL12644,486.8,17.3,28.14,73.98,2.63
BNL12644T,486.8,17.3,28.14,73.98,2.63
BNL12645,448.9,19,23.63,46.28,1.96
BNL12645T,448.9,19,23.63,46.28,1.96
BNL12646,461.9,33.7,13.71,30.77,2.25
BNL12646T,461.9,33.7,13.71,30.77,2.25
BNL12647,455.8,22.5,20.26,42.88,2.12
BNL12647T,455.8,22.5,20.26,42.88,2.12
BNL12650,422.6,17.5,24.15,40.62,1.68
BNL12650T,422.6,17.5,24.15,40.62,1.68
BNL12651,510.4,23.8,21.45,23.74,1.11
BNL12651T,510.4,23.8,21.45,23.74,1.11
BNL12652,473,16.3,29.02,39.48,1.36
BNL12652T,473,16.3,29.02,39.48,1.36
BNL12653,445.1,20.2,22.03,25.54,1.16
BNL12653T,445.1,20.2,22.03,25.54,1.16
BNL12654,453,26,17.42,28.9,1.66
BNL12654T,453,26,17.42,28.9,1.66
BNL12655,455.9,17.7,25.76,116.48,4.52
BNL12655T,455.9,17.7,25.76,116.48,4.52
BNL12656,482.1,11.2,43.04,25.05,0.58
BNL12656T,482.1,11.2,43.04,25.05,0.58
BNL12657,503.6,18.3,27.52,44.45,1.62
BNL12658,471.5,52.2,9.03,18.18,2.01
BNL12658T,471.5,52.2,9.03,18.18,2.01
BNL12659,474.4,18.8,25.23,101.79,4.03
BNL12659T,474.4,18.8,25.23,101.79,4.03
BNL12661,455.3,19.2,23.71,48.36,2.04
BNL12661T,455.3,19.2,23.71,48.36,2.04
BNL12662,447.5,29.7,15.07,41.88,2.78
BNL12662T,447.5,29.7,15.07,41.88,2.78
BNL12663,467.8,15.3,30.58,42.03,1.37
BNL12663T,467.8,15.3,30.58,42.03,1.37
BNL12667,490.5,24.4,20.1,33.11,1.65
BNL12667T,490.5,24.4,20.1,33.11,1.65
BNL12669,470.9,33.9,13.89,34.29,2.47
BNL12669T,470.9,33.9,13.89,34.29,2.47
BNL12671,468.8,31.3,14.98,27.8,1.86
BNL12671T,468.8,31.3,14.98,27.8,1.86
BNL12673,475.6,26.8,17.75,47.66,2.69
BNL12673T,475.6,26.8,17.75,47.66,2.69
BNL12677,439.7,14.9,29.51,34.88,1.18
BNL12677T,439.7,14.9,29.51,34.88,1.18
BNL12678,522.3,24.7,21.15,33.16,1.57
BNL12678T,522.3,24.7,21.15,33.16,1.57
BNL12679,505.8,14.7,34.41,71.41,2.08
BNL12679T,505.8,14.7,34.41,71.41,2.08
BNL12680,542.1,39.5,13.72,23.81,1.74
BNL12680T,542.1,39.5,13.72,23.81,1.74
BNL12681,535.1,36.3,14.74,26.28,1.78
BNL12681T,535.1,36.3,14.74,26.28,1.78
BNL12682,524.2,25.7,20.4,46.2,2.27
BNL12682T,524.2,25.7,20.4,46.2,2.27
BNL12683,480.7,12.8,37.55,40.82,1.09
BNL12683T,480.7,12.8,37.55,40.82,1.09
BNL12684,493.4,10.2,48.37,46.1,0.95
BNL12684T,493.4,10.2,48.37,46.1,0.95
BNL12687,486.6,14.6,33.33,77.57,2.33
BNL12687T,486.6,14.6,33.33,77.57,2.33
BNL12688,501.4,23.7,21.16,32.56,1.54
BNL12688T,501.4,23.7,21.16,32.56,1.54
BNL12689,474.9,17.5,27.14,80.39,2.96
BNL12689T,474.9,17.5,27.14,80.39,2.96
BNL12690,494.5,9.7,50.98,82.46,1.62
BNL12690T,494.5,9.7,50.98,82.46,1.62
BNL12691,501.8,11.2,44.8,77.48,1.73
BNL12691T,501.8,11.2,44.8,77.48,1.73
BNL12692,501.3,12.2,41.09,79.91,1.94
BNL12692T,501.3,12.2,41.09,79.91,1.94
BNL12698,496.5,14.8,33.55,49.92,1.49
BNL12698T,496.5,14.8,33.55,49.92,1.49
BNL12699,527.4,25.3,20.85,17.79,0.85
BNL12699T,527.4,25.3,20.85,17.79,0.85
BNL12700,529,19.3,27.41,21.34,0.78
BNL12700T,529,19.3,27.41,21.34,0.78
BNL12712,522.7,14.1,37.07,85.63,2.31
BNL12713,516.1,15.9,32.46,63.95,1.97
BNL12714,518.2,16.4,31.6,65.2,2.06
BNL12715,472.2,29.9,15.79,29.25,1.85
BNL12715T,472.2,29.9,15.79,29.25,1.85
BNL12716,496.7,20.9,23.77,64.62,2.72
BNL12717,500.5,21.1,23.72,44.39,1.87
BNL12718,439.6,19.8,22.2,51.41,2.32
BNL12718T,439.6,19.8,22.2,51.41,2.32
BNL12719,455.8,18,25.32,48.33,1.91
BNL12719T,455.8,18,25.32,48.33,1.91
BNL12720,470.3,19.5,24.12,63.61,2.64
BNL12720T,470.3,19.5,24.12,63.61,2.64
BNL12721,499.9,19.3,25.9,56.94,2.2
BNL12721T,499.9,19.3,25.9,56.94,2.2
BNL12724,484.2,17,28.48,47.57,1.67
BNL12724T,484.2,17,28.48,47.57,1.67
